rank	#	Title	Acceptance
1	1249	Minimum Remove to Make Valid Parentheses	60.90%
2	953	Verifying an Alien Dictionary	55.00%
3	973	K Closest Points to Origin	62.00%
4	680	Valid Palindrome II	36.00%
5	301	Remove Invalid Parentheses	42.30%
6	273	Integer to English Words	26.30%
7	124	Binary Tree Maximum Path Sum	32.70%
8	67	Add Binary	43.10%
9	238	Product of Array Except Self	59.10%
10	415	Add Strings	46.60%
11	269	Alien Dictionary	33.50%
12	199	Binary Tree Right Side View	52.50%
13	438	Find All Anagrams in a String	41.30%
14	23	Merge k Sorted Lists	39.00%
15	278	First Bad Version	33.80%
16	297	Serialize and Deserialize Binary Tree	45.90%
17	125	Valid Palindrome	34.90%
18	986	Interval List Intersections	66.00%
19	211	Add and Search Word - Data structure design	35.10%
20	523	Continuous Subarray Sum	24.40%
21	311	Sparse Matrix Multiplication	60.20%
22	560	Subarray Sum Equals K	43.80%
23	349	Intersection of Two Arrays	60.60%
24	31	Next Permutation	32.00%
25	340	Longest Substring with At Most K Distinct Characters	43.20%
26	139	Word Break	38.90%
27	158	Read N Characters Given Read4 II - Call multiple times	31.70%
28	543	Diameter of Binary Tree	48.00%
29	76	Minimum Window Substring	33.80%
30	689	Maximum Sum of 3 Non-Overlapping Subarrays	45.50%
31	282	Expression Add Operators	35.00%
32	426	Convert Binary Search Tree to Sorted Doubly Linked List	57.90%
33	173	Binary Search Tree Iterator	54.40%
34	56	Merge Intervals	38.40%
35	270	Closest Binary Search Tree Value	46.80%
36	938	Range Sum of BST	80.00%
37	140	Word Break II	30.40%
38	721	Accounts Merge	46.80%
39	65	Valid Number	14.90%
40	398	Random Pick Index	54.10%
41	215	Kth Largest Element in an Array	53.40%
42	621	Task Scheduler	47.90%
43	767	Reorganize String	47.20%
44	636	Exclusive Time of Functions	51.10%
45	88	Merge Sorted Array	38.60%
46	249	Group Shifted Strings	52.40%
47	236	Lowest Common Ancestor of a Binary Tree	43.60%
48	785	Is Graph Bipartite?	46.30%
49	286	Walls and Gates	53.10%
50	658	Find K Closest Elements	40.00%
51	670	Maximum Swap	42.30%
52	1060	Missing Element in Sorted Array	54.50%
