 #	Title	Acceptance	Difficulty	Frequency
593	Valid Square	41.5%	Medium	 ----1, own but with debugging, sort
647	Palindromic Substrings	59.0%	Medium	
203	Remove Linked List Elements	37.0%	Easy, ----1, own and gy way, cutting dummy node, thinking cur and cur->next
730	Count Different Palindromic Subsequences	41.1%	Hard	
661	Image Smoother	50.3%	Easy	
75	Sort Colors	44.5%	Medium	
5	Longest Palindromic Substring	28.7%	Medium	
150	Evaluate Reverse Polish Notation	34.5%	Medium	
167	Two Sum II - Input array is sorted	52.5%	Easy	
155	Min Stack	40.7%	Easy	
20	Valid Parentheses	38.0%	Easy	
1206	Design Skiplist	57.1%	Hard
